Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,1.1708,1.1949,1.1649,1.1767,1.032,13666175
2018-11-06 00:00:00+01:00,1.1748,1.1748,1.1472,1.1605,1.0178,23257111
2018-11-07 00:00:00+01:00,1.3299,1.3299,1.1782,1.1895,1.0432,40739871
2018-11-08 00:00:00+01:00,1.1949,1.2033,1.1802,1.1945,1.0476,16026039
2018-11-09 00:00:00+01:00,1.1792,1.1821,1.1536,1.1684,1.0247,14964595
2018-11-12 00:00:00+01:00,1.1649,1.1817,1.1555,1.159,1.0165,16258854
2018-11-13 00:00:00+01:00,1.1624,1.1885,1.1555,1.1885,1.0424,21962503
2018-11-14 00:00:00+01:00,1.1797,1.2004,1.1664,1.1861,1.0402,9377257
2018-11-15 00:00:00+01:00,1.1846,1.2009,1.1363,1.1496,1.0083,25166312
2018-11-16 00:00:00+01:00,1.1536,1.16,1.1383,1.1511,1.0095,21135199
2018-11-19 00:00:00+01:00,1.1496,1.1684,1.1329,1.1329,0.9936,17127507
2018-11-20 00:00:00+01:00,1.123,1.1339,1.1073,1.1107,0.9741,16764231
2018-11-21 00:00:00+01:00,1.1171,1.1289,1.1053,1.1097,0.9733,21388433
2018-11-22 00:00:00+01:00,1.1009,1.1088,1.0841,1.0969,0.962,13721533
2018-11-23 00:00:00+01:00,1.1009,1.1102,1.091,1.0945,0.9599,10010804
2018-11-26 00:00:00+01:00,1.1083,1.124,1.1063,1.1216,0.9836,30844985
2018-11-27 00:00:00+01:00,1.1201,1.1225,1.0984,1.1083,0.972,20086543
2018-11-28 00:00:00+01:00,1.1088,1.1186,1.0955,1.1053,0.9694,37558269
2018-11-29 00:00:00+01:00,1.1156,1.1265,1.1004,1.1073,0.9711,13483862
2018-11-30 00:00:00+01:00,1.1078,1.1161,1.0969,1.1102,0.9737,16551975
2018-12-03 00:00:00+01:00,1.1319,1.1329,1.1048,1.1068,0.9707,20393887
2018-12-04 00:00:00+01:00,1.0984,1.1033,1.0738,1.0738,0.9417,22588323
2018-12-05 00:00:00+01:00,1.0738,1.0876,1.0462,1.0777,0.9452,18660362
2018-12-06 00:00:00+01:00,1.0625,1.0664,1.0309,1.0368,0.9093,23836020
2018-12-07 00:00:00+01:00,1.0452,1.0521,1.0309,1.0344,0.9072,19757521
2018-12-10 00:00:00+01:00,1.0324,1.0408,1.0117,1.0127,0.8882,19186239
2018-12-11 00:00:00+01:00,1.0186,1.0378,1.0088,1.0206,0.8951,17642662
2018-12-12 00:00:00+01:00,1.025,1.0575,1.0226,1.0536,0.924,39685621
2018-12-13 00:00:00+01:00,1.0615,1.0777,1.0541,1.0625,0.9318,25227524
2018-12-14 00:00:00+01:00,1.0526,1.0674,1.0363,1.0674,0.9361,27578659
2018-12-17 00:00:00+01:00,1.057,1.0767,1.0492,1.0526,0.9232,25124195
2018-12-18 00:00:00+01:00,1.0462,1.058,1.0359,1.0363,0.9089,24403392
2018-12-19 00:00:00+01:00,1.0354,1.0541,1.0127,1.0216,0.8959,32045481
2018-12-20 00:00:00+01:00,1.0063,1.0162,0.9824,0.9974,0.8748,31010925
2018-12-21 00:00:00+01:00,0.996,1.0053,0.9627,0.983,0.8621,50309459
2018-12-24 00:00:00+01:00,0.9654,0.9759,0.9424,0.9579,0.8573,8056899
2018-12-27 00:00:00+01:00,0.9753,0.9822,0.9359,0.9467,0.8473,29201010
2018-12-28 00:00:00+01:00,0.9497,0.9776,0.9408,0.9776,0.8749,24244773
2018-12-31 00:00:00+01:00,0.9751,0.9989,0.9731,0.9856,0.8821,11103079
2019-01-02 00:00:00+01:00,0.9684,0.9886,0.9477,0.9861,0.8825,17027514
2019-01-03 00:00:00+01:00,0.977,0.9974,0.9703,0.9828,0.8795,85054766
2019-01-04 00:00:00+01:00,0.9925,1.0319,0.9876,1.0285,0.9204,20749832
2019-01-07 00:00:00+01:00,1.0344,1.0363,1.0162,1.0319,0.9235,17473848
2019-01-08 00:00:00+01:00,1.0334,1.0437,1.0211,1.0329,0.9244,24821013
2019-01-09 00:00:00+01:00,1.0393,1.0437,1.025,1.0314,0.9231,17098763
2019-01-10 00:00:00+01:00,1.0245,1.0349,1.0122,1.0157,0.909,32443960
2019-01-11 00:00:00+01:00,1.0107,1.0226,0.9989,1.0107,0.9046,18794765
2019-01-14 00:00:00+01:00,1.0043,1.0142,0.9945,1.0043,0.8988,28271937
2019-01-15 00:00:00+01:00,1.0122,1.0196,0.9969,1.0058,0.9002,17288683
2019-01-16 00:00:00+01:00,1.0152,1.0551,1.0137,1.0541,0.9434,30775543
2019-01-17 00:00:00+01:00,1.0452,1.0526,1.0152,1.0152,0.9085,26516203
2019-01-18 00:00:00+01:00,1.0344,1.0575,1.0295,1.0472,0.9372,30847678
2019-01-21 00:00:00+01:00,1.0482,1.0487,1.0285,1.0285,0.9204,20129481
